exit_type,count,mean_gross,mean_net
MAXHOLD,18,0.011514579323369448,0.006514579323369449
SL,119,-0.07999999999999996,-0.08999999999999998
SL_FIRST,1,-0.08,-0.09000000000000001
TP,91,0.1349250762336127,0.12992507623361269
