recon_date,cid,entry_date,entry_price
2025-03-31,WIF-USD,2025-04-01,0.42281800508499146
2025-03-31,RAY-USD,2025-04-01,1.8028990030288696
2025-03-31,RENDER-USD,2025-04-01,3.697377920150757
2025-03-31,FARTCOIN-USD,2025-04-01,0.5233420133590698
2025-03-31,ORCA-USD,2025-04-01,2.1625800132751465
2025-03-31,MNDE-USD,2025-04-01,0.10533600300550461
2025-03-31,MSOL-USD,2025-04-01,162.14886474609375
2025-03-31,JITOSOL-USD,2025-04-01,150.94700622558594
2025-03-31,FIDA-USD,2025-04-01,0.09654299914836884
2025-03-31,MEDIA-USD,2025-04-01,6.664050102233887
2025-03-31,GALA-USD,2025-04-01,0.01587199978530407
2025-03-31,PONKE-USD,2025-04-01,0.09103299677371979
2025-03-31,SLERF-USD,2025-04-01,0.059971000999212265
2025-03-31,KMNO-USD,2025-04-01,0.04985100030899048
2025-03-31,PYUSD-USD,2025-04-01,0.9995430111885071
2025-03-31,HNT-USD,2025-04-01,3.0582869052886963
2025-03-31,ZETA-USD,2025-04-01,0.270018994808197
2025-03-31,STSOL-USD,2025-04-01,153.5646514892578
2025-03-31,BSOL-USD,2025-04-01,152.6893768310547
2025-03-31,CHILLGUY-USD,2025-04-01,0.02488899976015091
2025-03-31,ZEREBRO-USD,2025-04-01,0.029461000114679337
2025-04-30,WIF-USD,2025-05-01,0.6158409714698792
2025-04-30,RAY-USD,2025-05-01,2.8873538970947266
2025-04-30,RENDER-USD,2025-05-01,4.626389026641846
2025-04-30,FARTCOIN-USD,2025-05-01,1.1959760189056396
2025-04-30,ORCA-USD,2025-05-01,2.9263219833374023
2025-04-30,MSOL-USD,2025-05-01,194.32875061035156
2025-04-30,JITOSOL-USD,2025-05-01,180.58135986328125
2025-04-30,FIDA-USD,2025-05-01,0.08475500345230103
2025-04-30,MEDIA-USD,2025-05-01,0.6316140294075012
2025-04-30,GALA-USD,2025-05-01,0.017148999497294426
2025-04-30,PONKE-USD,2025-05-01,0.12027899920940399
2025-04-30,MYRO-USD,2025-05-01,0.025960000231862068
2025-04-30,SLERF-USD,2025-05-01,0.07180000096559525
2025-04-30,KMNO-USD,2025-05-01,0.07352100312709808
2025-04-30,PYUSD-USD,2025-05-01,0.9997109770774841
2025-04-30,HNT-USD,2025-05-01,3.8230509757995605
2025-04-30,IOTX-USD,2025-05-01,0.01913299970328808
2025-04-30,ZETA-USD,2025-05-01,0.27447399497032166
2025-04-30,STSOL-USD,2025-05-01,182.51187133789062
2025-04-30,BSOL-USD,2025-05-01,182.96095275878906
2025-04-30,CHILLGUY-USD,2025-05-01,0.045788999646902084
2025-04-30,ZEREBRO-USD,2025-05-01,0.05099000036716461
2025-05-31,WIF-USD,2025-06-01,0.8729349970817566
2025-05-31,RAY-USD,2025-06-01,2.5348050594329834
2025-05-31,RENDER-USD,2025-06-01,3.9239890575408936
