cid,entry_date,entry_price,exit_date,exit_price,exit_type,gross_return,hold_days,es,recon_date
WIF-USD,2025-04-01,0.42281800508499146,2025-04-02,0.38899256467819215,SL,-0.07999999999999996,1,E1,2025-03-31
RAY-USD,2025-04-01,1.8028990030288696,2025-04-02,1.6586670827865602,SL,-0.07999999999999995,1,E1,2025-03-31
RENDER-USD,2025-04-01,3.697377920150757,2025-04-02,3.4015876865386963,SL,-0.08000000000000002,1,E1,2025-03-31
FARTCOIN-USD,2025-04-01,0.5233420133590698,2025-04-02,0.48147465229034425,SL,-0.07999999999999997,1,E1,2025-03-31
ORCA-USD,2025-04-01,2.1625800132751465,2025-04-02,2.2445569038391113,TP,0.03790698612802488,1,E1,2025-03-31
MNDE-USD,2025-04-01,0.10533600300550461,2025-04-02,0.09690912276506425,SL,-0.07999999999999992,1,E1,2025-03-31
MSOL-USD,2025-04-01,162.14886474609375,2025-04-02,149.17695556640626,SL,-0.07999999999999992,1,E1,2025-03-31
JITOSOL-USD,2025-04-01,150.94700622558594,2025-04-02,138.87124572753908,SL,-0.0799999999999999,1,E1,2025-03-31
FIDA-USD,2025-04-01,0.09654299914836884,2025-04-02,0.08881955921649934,SL,-0.07999999999999989,1,E1,2025-03-31
MEDIA-USD,2025-04-01,6.664050102233887,2025-04-02,6.130926094055176,SL_FIRST,-0.08,1,E1,2025-03-31
GALA-USD,2025-04-01,0.01587199978530407,2025-04-02,0.014602239802479745,SL,-0.07999999999999992,1,E1,2025-03-31
PONKE-USD,2025-04-01,0.09103299677371979,2025-04-02,0.08375035703182221,SL,-0.07999999999999995,1,E1,2025-03-31
SLERF-USD,2025-04-01,0.059971000999212265,2025-04-02,0.055173320919275286,SL,-0.07999999999999997,1,E1,2025-03-31
KMNO-USD,2025-04-01,0.04985100030899048,2025-04-02,0.04586292028427124,SL,-0.08,1,E1,2025-03-31
PYUSD-USD,2025-04-01,0.9995430111885071,2025-05-31,0.9993979930877686,MAXHOLD,-0.0001450844026872756,60,E1,2025-03-31
HNT-USD,2025-04-01,3.0582869052886963,2025-04-02,2.813623952865601,SL,-0.07999999999999992,1,E1,2025-03-31
ZETA-USD,2025-04-01,0.270018994808197,2025-04-03,0.24841747522354127,SL,-0.07999999999999997,2,E1,2025-03-31
STSOL-USD,2025-04-01,153.5646514892578,2025-04-02,141.2794793701172,SL,-0.0799999999999999,1,E1,2025-03-31
BSOL-USD,2025-04-01,152.6893768310547,2025-04-02,140.4742266845703,SL,-0.08,1,E1,2025-03-31
CHILLGUY-USD,2025-04-01,0.02488899976015091,2025-04-02,0.022897879779338836,SL,-0.08000000000000003,1,E1,2025-03-31
ZEREBRO-USD,2025-04-01,0.029461000114679337,2025-04-02,0.02710412010550499,SL,-0.08000000000000002,1,E1,2025-03-31
WIF-USD,2025-05-01,0.6158409714698792,2025-05-03,0.5665736937522888,SL,-0.07999999999999997,2,E1,2025-04-30
