cid,entry_date,entry_price,exit_date,exit_price,exit_type,gross_return,hold_days,es,recon_date
WIF-USD,2025-04-01,0.42281800508499146,2025-04-02,0.3593953043222427,SL,-0.15000000000000008,1,E3,2025-03-31
RAY-USD,2025-04-01,1.8028990030288696,2025-04-05,1.532464152574539,SL,-0.15000000000000008,4,E3,2025-03-31
RENDER-USD,2025-04-01,3.697377920150757,2025-04-02,3.142771232128143,SL,-0.15000000000000005,1,E3,2025-03-31
FARTCOIN-USD,2025-04-01,0.5233420133590698,2025-04-02,0.44484071135520936,SL,-0.14999999999999997,1,E3,2025-03-31
ORCA-USD,2025-04-01,2.1625800132751465,2025-04-06,1.8381930112838745,SL,-0.15000000000000002,5,E3,2025-03-31
MNDE-USD,2025-04-01,0.10533600300550461,2025-04-04,0.08953560255467892,SL,-0.14999999999999997,3,E3,2025-03-31
MSOL-USD,2025-04-01,162.14886474609375,2025-04-05,137.82653503417967,SL,-0.1500000000000001,4,E3,2025-03-31
JITOSOL-USD,2025-04-01,150.94700622558594,2025-04-05,128.30495529174803,SL,-0.1500000000000001,4,E3,2025-03-31
FIDA-USD,2025-04-01,0.09654299914836884,2025-04-02,0.0820615492761135,SL,-0.15000000000000005,1,E3,2025-03-31
MEDIA-USD,2025-04-01,6.664050102233887,2025-04-05,5.6644425868988035,SL,-0.15000000000000002,4,E3,2025-03-31
GALA-USD,2025-04-01,0.01587199978530407,2025-04-05,0.013491199817508459,SL,-0.15,4,E3,2025-03-31
PONKE-USD,2025-04-01,0.09103299677371979,2025-04-02,0.07737804725766181,SL,-0.15000000000000005,1,E3,2025-03-31
SLERF-USD,2025-04-01,0.059971000999212265,2025-04-05,0.05097535084933042,SL,-0.15000000000000008,4,E3,2025-03-31
KMNO-USD,2025-04-01,0.04985100030899048,2025-04-05,0.042373350262641905,SL,-0.15000000000000002,4,E3,2025-03-31
PYUSD-USD,2025-04-01,0.9995430111885071,2025-05-31,0.9993979930877686,MAXHOLD,-0.0001450844026872756,60,E3,2025-03-31
HNT-USD,2025-04-01,3.0582869052886963,2025-04-05,2.599543869495392,SL,-0.15,4,E3,2025-03-31
ZETA-USD,2025-04-01,0.270018994808197,2025-04-05,0.22951614558696745,SL,-0.15000000000000005,4,E3,2025-03-31
STSOL-USD,2025-04-01,153.5646514892578,2025-04-05,130.52995376586912,SL,-0.1500000000000001,4,E3,2025-03-31
BSOL-USD,2025-04-01,152.6893768310547,2025-04-05,129.78597030639648,SL,-0.15000000000000005,4,E3,2025-03-31
CHILLGUY-USD,2025-04-01,0.02488899976015091,2025-04-05,0.021155649796128273,SL,-0.15,4,E3,2025-03-31
ZEREBRO-USD,2025-04-01,0.029461000114679337,2025-04-02,0.025041850097477437,SL,-0.14999999999999997,1,E3,2025-03-31
WIF-USD,2025-05-01,0.6158409714698792,2025-05-05,0.5234648257493972,SL,-0.15000000000000008,4,E3,2025-04-30
RAY-USD,2025-05-01,2.8873538970947266,2025-05-05,2.4542508125305176,SL,-0.15,4,E3,2025-04-30
RENDER-USD,2025-05-01,4.626389026641846,2025-05-29,3.9324306726455687,SL,-0.15000000000000005,28,E3,2025-04-30
FARTCOIN-USD,2025-05-01,1.1959760189056396,2025-05-06,1.0165796160697937,SL,-0.14999999999999997,5,E3,2025-04-30
ORCA-USD,2025-05-01,2.9263219833374023,2025-05-05,2.487373685836792,SL,-0.14999999999999997,4,E3,2025-04-30
MSOL-USD,2025-05-01,194.32875061035156,2025-06-21,165.17943801879883,SL,-0.14999999999999997,51,E3,2025-04-30
JITOSOL-USD,2025-05-01,180.58135986328125,2025-06-21,153.49415588378906,SL,-0.15,51,E3,2025-04-30
FIDA-USD,2025-05-01,0.08475500345230103,2025-05-05,0.07204175293445587,SL,-0.14999999999999997,4,E3,2025-04-30
MEDIA-USD,2025-05-01,0.6316140294075012,2025-05-02,0.536871924996376,SL,-0.15,1,E3,2025-04-30
GALA-USD,2025-05-01,0.017148999497294426,2025-05-05,0.014576649572700261,SL,-0.15000000000000005,4,E3,2025-04-30
PONKE-USD,2025-05-01,0.12027899920940399,2025-05-03,0.1022371493279934,SL,-0.14999999999999997,2,E3,2025-04-30
MYRO-USD,2025-05-01,0.025960000231862068,2025-05-05,0.02206600019708276,SL,-0.14999999999999997,4,E3,2025-04-30
SLERF-USD,2025-05-01,0.07180000096559525,2025-05-11,0.09334000125527382,TP,0.30000000000000004,10,E3,2025-04-30
KMNO-USD,2025-05-01,0.07352100312709808,2025-05-14,0.06249285265803337,SL,-0.15,13,E3,2025-04-30
PYUSD-USD,2025-05-01,0.9997109770774841,2025-06-30,0.9995570182800293,MAXHOLD,-0.0001540033079409722,60,E3,2025-04-30
HNT-USD,2025-05-01,3.8230509757995605,2025-05-29,3.249593329429626,SL,-0.15000000000000008,28,E3,2025-04-30
IOTX-USD,2025-05-01,0.01913299970328808,2025-06-02,0.02339700050652027,TP,0.22286107089101184,32,E3,2025-04-30
ZETA-USD,2025-05-01,0.27447399497032166,2025-05-05,0.2333028957247734,SL,-0.15000000000000005,4,E3,2025-04-30
STSOL-USD,2025-05-01,182.51187133789062,2025-06-21,155.135090637207,SL,-0.1500000000000001,51,E3,2025-04-30
BSOL-USD,2025-05-01,182.96095275878906,2025-06-21,155.5168098449707,SL,-0.14999999999999997,51,E3,2025-04-30
CHILLGUY-USD,2025-05-01,0.045788999646902084,2025-05-07,0.058747000992298126,TP,0.2829937636838662,6,E3,2025-04-30
ZEREBRO-USD,2025-05-01,0.05099000036716461,2025-05-03,0.04334150031208992,SL,-0.14999999999999997,2,E3,2025-04-30
WIF-USD,2025-06-01,0.8729349970817566,2025-06-17,0.7419947475194931,SL,-0.14999999999999997,16,E3,2025-05-31
RAY-USD,2025-06-01,2.5348050594329834,2025-06-04,2.1545843005180356,SL,-0.1500000000000001,3,E3,2025-05-31
RENDER-USD,2025-06-01,3.9239890575408936,2025-06-12,3.3353906989097593,SL,-0.15000000000000008,11,E3,2025-05-31
FARTCOIN-USD,2025-06-01,1.148103952407837,2025-06-03,0.9758883595466613,SL,-0.15000000000000005,2,E3,2025-05-31
BOME-USD,2025-06-01,0.001917000045068562,2025-06-12,0.0016294500383082777,SL,-0.15,11,E3,2025-05-31
ORCA-USD,2025-06-01,2.6915531158447266,2025-06-04,2.2878201484680174,SL,-0.15000000000000008,3,E3,2025-05-31
MNDE-USD,2025-06-01,0.1195020005106926,2025-06-15,0.1553526006639004,TP,0.3000000000000001,14,E3,2025-05-31
MSOL-USD,2025-06-01,204.57615661621094,2025-06-20,173.88973312377928,SL,-0.15000000000000008,19,E3,2025-05-31
JITOSOL-USD,2025-06-01,190.16746520996094,2025-06-20,161.6423454284668,SL,-0.15,19,E3,2025-05-31
FIDA-USD,2025-06-01,0.0716480016708374,2025-06-04,0.06090080142021179,SL,-0.15,3,E3,2025-05-31
GALA-USD,2025-06-01,0.016902999952435493,2025-06-16,0.014367549959570168,SL,-0.15000000000000005,15,E3,2025-05-31
PONKE-USD,2025-06-01,0.13641899824142456,2025-06-16,0.11595614850521087,SL,-0.15000000000000005,15,E3,2025-05-31
MYRO-USD,2025-06-01,0.022823000326752663,2025-06-04,0.019399550277739763,SL,-0.15,3,E3,2025-05-31
SLERF-USD,2025-06-01,0.07552900165319443,2025-06-19,0.06419965140521526,SL,-0.15000000000000005,18,E3,2025-05-31
KMNO-USD,2025-06-01,0.05793499946594238,2025-07-31,0.04924474954605102,SL,-0.15000000000000008,60,E3,2025-05-31
PYUSD-USD,2025-06-01,0.9993979930877686,2025-07-31,0.9992780089378357,MAXHOLD,-0.00012005642473040683,60,E3,2025-05-31
HNT-USD,2025-06-01,3.3812830448150635,2025-06-04,2.874090588092804,SL,-0.14999999999999997,3,E3,2025-05-31
IOTX-USD,2025-06-01,0.02223999984562397,2025-07-30,0.028849000111222267,TP,0.29716728019216737,59,E3,2025-05-31
ZETA-USD,2025-06-01,0.21699999272823334,2025-06-16,0.18444999381899832,SL,-0.15000000000000008,15,E3,2025-05-31
STSOL-USD,2025-06-01,191.18064880371094,2025-06-20,162.5035514831543,SL,-0.15,19,E3,2025-05-31
BSOL-USD,2025-06-01,192.54660034179688,2025-06-20,163.66461029052735,SL,-0.14999999999999997,19,E3,2025-05-31
CHILLGUY-USD,2025-06-01,0.07125099748373032,2025-06-03,0.06056334786117077,SL,-0.14999999999999997,2,E3,2025-05-31
ZEREBRO-USD,2025-06-01,0.03678999841213226,2025-06-03,0.031271498650312424,SL,-0.15,2,E3,2025-05-31
WIF-USD,2025-07-01,0.7830229997634888,2025-07-09,1.0179298996925354,TP,0.30000000000000004,8,E3,2025-06-30
RAY-USD,2025-07-01,2.0324220657348633,2025-07-09,2.6421486854553224,TP,0.3000000000000001,8,E3,2025-06-30
RENDER-USD,2025-07-01,3.073117971420288,2025-07-15,3.9950533628463747,TP,0.30000000000000004,14,E3,2025-06-30
FARTCOIN-USD,2025-07-01,1.0208649635314941,2025-07-09,1.3181689977645874,TP,0.2912275813684748,8,E3,2025-06-30
ORCA-USD,2025-07-01,1.8434590101242065,2025-07-12,2.2957770824432373,TP,0.24536378071598944,11,E3,2025-06-30
MNDE-USD,2025-07-01,0.12329000234603882,2025-07-29,0.104796501994133,SL,-0.14999999999999997,28,E3,2025-06-30
MSOL-USD,2025-07-01,191.59547424316406,2025-07-20,249.0741165161133,TP,0.30000000000000004,19,E3,2025-06-30
JITOSOL-USD,2025-07-01,178.08615112304688,2025-07-20,231.51199645996095,TP,0.3000000000000001,19,E3,2025-06-30
FIDA-USD,2025-07-01,0.07007300108671188,2025-07-15,0.09109490141272546,TP,0.3000000000000001,14,E3,2025-06-30
GALA-USD,2025-07-01,0.013395000249147415,2025-07-10,0.01704699918627739,TP,0.2726389600002002,9,E3,2025-06-30
PONKE-USD,2025-07-01,0.11212900280952454,2025-07-09,0.1457677036523819,TP,0.3,8,E3,2025-06-30
SLERF-USD,2025-07-01,0.06632799655199051,2025-07-19,0.08515799790620804,TP,0.2838922074098504,18,E3,2025-06-30
KMNO-USD,2025-07-01,0.05757300183176994,2025-07-31,0.04893705155700445,SL,-0.15,30,E3,2025-06-30
PYUSD-USD,2025-07-01,0.9995570182800293,2025-08-30,0.9995110034942627,MAXHOLD,-4.6035178509156704e-05,60,E3,2025-06-30
