cid,entry_date,exit_date,gross_return,hold_days,exit_type,recon_date
CHILLGUY-USD,2025-04-01,2025-04-21,0.19024470557947878,20,FIXED_20d,2025-03-31
ZEREBRO-USD,2025-04-01,2025-04-21,0.7610399706539028,20,FIXED_20d,2025-03-31
WIF-USD,2025-05-01,2025-05-21,0.9412446476257433,20,FIXED_20d,2025-04-30
RAY-USD,2025-05-01,2025-05-21,0.17594554780833727,20,FIXED_20d,2025-04-30
RENDER-USD,2025-05-01,2025-05-21,0.1163487899342018,20,FIXED_20d,2025-04-30
FARTCOIN-USD,2025-05-01,2025-05-21,0.3013672263967353,20,FIXED_20d,2025-04-30
ORCA-USD,2025-05-01,2025-05-21,-0.03262145870044071,20,FIXED_20d,2025-04-30
MSOL-USD,2025-05-01,2025-05-21,0.19773391431168663,20,FIXED_20d,2025-04-30
JITOSOL-USD,2025-05-01,2025-05-21,0.19801911009938672,20,FIXED_20d,2025-04-30
FIDA-USD,2025-05-01,2025-05-21,0.1348002535948797,20,FIXED_20d,2025-04-30
MEDIA-USD,2025-05-01,2025-05-21,-0.06523449461979998,20,FIXED_20d,2025-04-30
GALA-USD,2025-05-01,2025-05-21,0.22666053641444764,20,FIXED_20d,2025-04-30
PONKE-USD,2025-05-01,2025-05-21,0.6146792525620411,20,FIXED_20d,2025-04-30
MYRO-USD,2025-05-01,2025-05-21,0.3926425086759011,20,FIXED_20d,2025-04-30
SLERF-USD,2025-05-01,2025-05-21,0.28543173882955114,20,FIXED_20d,2025-04-30
KMNO-USD,2025-05-01,2025-05-21,0.04578274719588578,20,FIXED_20d,2025-04-30
PYUSD-USD,2025-05-01,2025-05-21,-0.0003660783239479556,20,FIXED_20d,2025-04-30
HNT-USD,2025-05-01,2025-05-21,0.09287424201925808,20,FIXED_20d,2025-04-30
IOTX-USD,2025-05-01,2025-05-21,0.1398108304839071,20,FIXED_20d,2025-04-30
ZETA-USD,2025-05-01,2025-05-21,0.006842154009758498,20,FIXED_20d,2025-04-30
STSOL-USD,2025-05-01,2025-05-21,0.19355246483224198,20,FIXED_20d,2025-04-30
BSOL-USD,2025-05-01,2025-05-21,0.19711390548323598,20,FIXED_20d,2025-04-30
CHILLGUY-USD,2025-05-01,2025-05-21,1.3648255921563313,20,FIXED_20d,2025-04-30
ZEREBRO-USD,2025-05-01,2025-05-21,-0.12784861600973266,20,FIXED_20d,2025-04-30
WIF-USD,2025-06-01,2025-06-21,-0.21364591890474421,20,FIXED_20d,2025-05-31
RAY-USD,2025-06-01,2025-06-21,-0.2720599999454464,20,FIXED_20d,2025-05-31
RENDER-USD,2025-06-01,2025-06-21,-0.2875769903070182,20,FIXED_20d,2025-05-31
FARTCOIN-USD,2025-06-01,2025-06-21,-0.19387090262957282,20,FIXED_20d,2025-05-31
BOME-USD,2025-06-01,2025-06-21,-0.32290038717050956,20,FIXED_20d,2025-05-31
