exit_type,count,mean_gross,mean_net
MAXHOLD,18,0.017554428582734614,0.012554428582734617
SL,138,-0.07000000000000006,-0.08000000000000007
SL_FIRST,1,-0.07000000000000002,-0.08000000000000003
TP,72,0.17892729810643476,0.17392729810643476
