token,pnl
ZEREBRO-USD,0.7264045978630144
FARTCOIN-USD,0.5945982838641425
WIF-USD,0.34549733866840365
MNDE-USD,0.1752885223487315
KMNO-USD,0.16539779881464062
RENDER-USD,0.11415763168518196
JITOSOL-USD,0.060043574271438284
RAY-USD,0.044899238063602624
ORCA-USD,0.02305549607728946
MSOL-USD,0.00636097825071355
