exit_structure,verdict,mean_return_conservative,median_return_conservative,pct_positive,sharpe_equiv,skew,n_trades,top_decile_share,top3_token_share,top20_position_share,max_month_share,subperiods_positive,mean_concurrent,beats_b1_mean,beats_b2_mean,b1_mean,b2_mean,fail_reasons,flags
E1,FAIL,0.004980106397726672,-0.0899999999999999,0.4192139737991266,0.7439520770733958,0.34656413818116355,229,2.7971552998798703,1.2412582345017606,1.0,2.1175385934626623,1,5.109289617486339,True,True,-0.12027074767662212,-0.0005088632054643163,median=-0.0900<=0; outlier-driven: decile=2.80 AND top3tok=1.24; top20_pos=1.00>0.80; max_month=2.12>0.35; sparse: top10pct_tok=0.84>0.60; subperiod_stability: 1/3 positive; median=-0.0900<b2_median=-0.0132,FLAG:decile=2.80; FLAG:top3tok=1.24; FLAG:max_month=2.12
E2,FAIL,-0.004731953388735011,-0.10999999999999993,0.3624454148471616,-0.5660181763948241,0.6021121545540016,229,-3.9589621695653507,-1.5379047384891245,-3.599056517786682,0.0,1,6.797814207650274,True,False,-0.12027074767662212,-0.0005088632054643163,mean=-0.0047<=0 at conservative; mean=-0.0027<=0 at base; median=-0.1100<=0; subperiod_stability: 1/3 positive; book_mean=-0.0047<=b2=-0.0005; median=-0.1100<b2_median=-0.0132,none
E3,FAIL,-0.051838772189872186,-0.16,0.24017467248908297,-4.730395075876169,1.2269092176879757,229,-0.5467068403917317,-0.053821608597079296,-0.4970062185379379,0.0,1,10.991803278688524,True,False,-0.12027074767662212,-0.0005088632054643163,mean=-0.0518<=0 at conservative; mean=-0.0498<=0 at base; median=-0.1600<=0; subperiod_stability: 1/3 positive; book_mean=-0.0518<=b2=-0.0005; median=-0.1600<b2_median=-0.0132,none
E4,FAIL,0.007112424358744611,-0.08000000000000003,0.3406113537117904,0.9620837285917777,0.7504424831910125,229,2.6339295167499084,0.8682473681782662,1.0,1.9900204601255047,1,5.8743169398907105,True,True,-0.12027074767662212,-0.0005088632054643163,median=-0.0800<=0; outlier-driven: decile=2.63 AND top3tok=0.87; top20_pos=1.00>0.80; max_month=1.99>0.35; sparse: top10pct_tok=0.67>0.60; subperiod_stability: 1/3 positive; median=-0.0800<b2_median=-0.0132,FLAG:decile=2.63; FLAG:top3tok=0.87; FLAG:max_month=1.99
