cid,entry_date,exit_date,gross_return,hold_days,exit_type,recon_date
WIF-USD,2025-04-01,2025-05-31,1.0644674034415564,60,FIXED_60d,2025-03-31
RAY-USD,2025-04-01,2025-05-31,0.4059839274659109,60,FIXED_60d,2025-03-31
RENDER-USD,2025-04-01,2025-05-31,0.061280466435004496,60,FIXED_60d,2025-03-31
FARTCOIN-USD,2025-04-01,2025-05-31,1.193792822094931,60,FIXED_60d,2025-03-31
ORCA-USD,2025-04-01,2025-05-31,0.24460730908642703,60,FIXED_60d,2025-03-31
MNDE-USD,2025-04-01,2025-05-31,0.13436048300889825,60,FIXED_60d,2025-03-31
MSOL-USD,2025-04-01,2025-05-31,0.2616586810366601,60,FIXED_60d,2025-03-31
JITOSOL-USD,2025-04-01,2025-05-31,0.2594332675290269,60,FIXED_60d,2025-03-31
FIDA-USD,2025-04-01,2025-05-31,-0.2578643474631692,60,FIXED_60d,2025-03-31
MEDIA-USD,2025-04-01,2025-05-31,-0.8630326955135713,60,FIXED_60d,2025-03-31
GALA-USD,2025-04-01,2025-05-31,0.06495716866667488,60,FIXED_60d,2025-03-31
PONKE-USD,2025-04-01,2025-05-31,0.4985664877156632,60,FIXED_60d,2025-03-31
SLERF-USD,2025-04-01,2025-05-31,0.2594921104613065,60,FIXED_60d,2025-03-31
KMNO-USD,2025-04-01,2025-05-31,0.16216322855800305,60,FIXED_60d,2025-03-31
PYUSD-USD,2025-04-01,2025-05-31,-0.0001450844026872756,60,FIXED_60d,2025-03-31
HNT-USD,2025-04-01,2025-05-31,0.10561342003845679,60,FIXED_60d,2025-03-31
ZETA-USD,2025-04-01,2025-05-31,-0.19635286072235306,60,FIXED_60d,2025-03-31
STSOL-USD,2025-04-01,2025-05-31,0.2449521875617609,60,FIXED_60d,2025-03-31
BSOL-USD,2025-04-01,2025-05-31,0.26103468583045414,60,FIXED_60d,2025-03-31
CHILLGUY-USD,2025-04-01,2025-05-31,1.8627505392084225,60,FIXED_60d,2025-03-31
ZEREBRO-USD,2025-04-01,2025-05-31,0.24819251788325214,60,FIXED_60d,2025-03-31
WIF-USD,2025-05-01,2025-06-30,0.2715295839750633,60,FIXED_60d,2025-04-30
RAY-USD,2025-05-01,2025-06-30,-0.2960952698663302,60,FIXED_60d,2025-04-30
RENDER-USD,2025-05-01,2025-06-30,-0.33574155702790726,60,FIXED_60d,2025-04-30
FARTCOIN-USD,2025-05-01,2025-06-30,-0.1464168617146507,60,FIXED_60d,2025-04-30
ORCA-USD,2025-05-01,2025-06-30,-0.37004231912245544,60,FIXED_60d,2025-04-30
MSOL-USD,2025-05-01,2025-06-30,-0.014065218649339184,60,FIXED_60d,2025-04-30
JITOSOL-USD,2025-05-01,2025-06-30,-0.01381764287368035,60,FIXED_60d,2025-04-30
FIDA-USD,2025-05-01,2025-06-30,-0.1732287389245636,60,FIXED_60d,2025-04-30
MEDIA-USD,2025-05-01,2025-06-30,-0.41040892351174535,60,FIXED_60d,2025-04-30
GALA-USD,2025-05-01,2025-06-30,-0.2189048549881452,60,FIXED_60d,2025-04-30
PONKE-USD,2025-05-01,2025-06-30,-0.06775909721106367,60,FIXED_60d,2025-04-30
MYRO-USD,2025-05-01,2025-06-30,-0.3678736334473665,60,FIXED_60d,2025-04-30
SLERF-USD,2025-05-01,2025-06-30,-0.07619775085860676,60,FIXED_60d,2025-04-30
KMNO-USD,2025-05-01,2025-06-30,-0.21691762376743318,60,FIXED_60d,2025-04-30
PYUSD-USD,2025-05-01,2025-06-30,-0.0001540033079409722,60,FIXED_60d,2025-04-30
HNT-USD,2025-05-01,2025-06-30,-0.43166152771200167,60,FIXED_60d,2025-04-30
IOTX-USD,2025-05-01,2025-06-30,0.10939216902417077,60,FIXED_60d,2025-04-30
ZETA-USD,2025-05-01,2025-06-30,-0.38379228734028326,60,FIXED_60d,2025-04-30
STSOL-USD,2025-05-01,2025-06-30,-0.02502044544739956,60,FIXED_60d,2025-04-30
BSOL-USD,2025-05-01,2025-06-30,-0.014239822112935969,60,FIXED_60d,2025-04-30
CHILLGUY-USD,2025-05-01,2025-06-30,0.003974733209609881,60,FIXED_60d,2025-04-30
ZEREBRO-USD,2025-05-01,2025-06-30,-0.46477741335832545,60,FIXED_60d,2025-04-30
WIF-USD,2025-06-01,2025-07-31,0.007751980329139098,60,FIXED_60d,2025-05-31
RAY-USD,2025-06-01,2025-07-31,0.0237817072891999,60,FIXED_60d,2025-05-31
RENDER-USD,2025-06-01,2025-07-31,-0.0988491410740155,60,FIXED_60d,2025-05-31
FARTCOIN-USD,2025-06-01,2025-07-31,-0.20119865093883352,60,FIXED_60d,2025-05-31
BOME-USD,2025-06-01,2025-07-31,-0.08033385751602988,60,FIXED_60d,2025-05-31
