token,pnl
SLERF-USD,0.5238922074098503
MNDE-USD,0.08499999999999996
IOTX-USD,0.030028351083179083
PYUSD-USD,-0.05979997654954546
ZEREBRO-USD,-0.0699932882202607
CHILLGUY-USD,-0.0987297742951001
WIF-USD,-0.1165733695973519
BOME-USD,-0.16
MEDIA-USD,-0.32000000000000006
FARTCOIN-USD,-0.3461613463568738
