exit_structure,cost_level,n_trades,mean_return,median_return,pct_positive,std_return,sharpe_equiv,skew,kurtosis,p5,p10,p25,p50,p75,p90,p95
E1,optimistic,229,0.008980106397726674,-0.0859999999999999,0.4192139737991266,0.10626590155801059,1.3414911797825242,0.34656413818116355,-1.7593251265441419,-0.08600000000000002,-0.08600000000000001,-0.08599999999999998,-0.0859999999999999,0.14392510434366293,0.14899999999999988,0.14899999999999997
E1,base,229,0.006980106397726673,-0.0879999999999999,0.4192139737991266,0.10626590155801059,1.04272162842796,0.34656413818116355,-1.7593251265441419,-0.08800000000000002,-0.08800000000000001,-0.08799999999999998,-0.0879999999999999,0.14192510434366293,0.14699999999999988,0.14699999999999996
E1,conservative,229,0.004980106397726672,-0.0899999999999999,0.4192139737991266,0.10626590155801059,0.7439520770733958,0.34656413818116355,-1.7593251265441419,-0.09000000000000002,-0.09000000000000001,-0.08999999999999998,-0.0899999999999999,0.13992510434366293,0.14499999999999988,0.14499999999999996
E1,stress,229,-1.9893602273322032e-05,-0.09499999999999989,0.4192139737991266,0.10626590155801059,-0.0029718013130132794,0.34656413818116355,-1.7593251265441419,-0.09500000000000001,-0.095,-0.09499999999999997,-0.09499999999999989,0.13492510434366292,0.13999999999999987,0.13999999999999996
E2,optimistic,229,-0.0007319533887350072,-0.10599999999999993,0.3624454148471616,0.13271204782027216,-0.08755346645723294,0.6021121545540016,-1.5009580933087168,-0.10600000000000004,-0.10600000000000002,-0.10599999999999997,-0.10599999999999993,0.16465985172756195,0.1989999999999999,0.19899999999999995
E2,base,229,-0.00273195338873501,-0.10799999999999993,0.3624454148471616,0.13271204782027216,-0.3267858214260286,0.6021121545540016,-1.5009580933087168,-0.10800000000000004,-0.10800000000000003,-0.10799999999999997,-0.10799999999999993,0.16265985172756195,0.1969999999999999,0.19699999999999995
E2,conservative,229,-0.004731953388735011,-0.10999999999999993,0.3624454148471616,0.13271204782027216,-0.5660181763948241,0.6021121545540016,-1.5009580933087168,-0.11000000000000004,-0.11000000000000003,-0.10999999999999997,-0.10999999999999993,0.16065985172756195,0.1949999999999999,0.19499999999999995
E2,stress,229,-0.009731953388735004,-0.11499999999999992,0.3624454148471616,0.13271204782027216,-1.1640990638168116,0.6021121545540016,-1.5009580933087168,-0.11500000000000003,-0.11500000000000002,-0.11499999999999996,-0.11499999999999992,0.15565985172756194,0.1899999999999999,0.18999999999999995
E3,optimistic,229,-0.04783877218987217,-0.156,0.2445414847161572,0.17396327023691072,-4.365386810745973,1.226909217687976,-0.24585205678890087,-0.15600000000000008,-0.15600000000000008,-0.15600000000000006,-0.156,-0.0006048459116697344,0.299,0.29900000000000004
E3,base,229,-0.04983877218987217,-0.158,0.2445414847161572,0.17396327023691072,-4.54789094331107,1.226909217687976,-0.24585205678890087,-0.15800000000000008,-0.15800000000000008,-0.15800000000000006,-0.158,-0.0026048459116697347,0.297,0.29700000000000004
E3,conservative,229,-0.051838772189872186,-0.16,0.24017467248908297,0.17396327023691074,-4.730395075876169,1.2269092176879757,-0.24585205678890176,-0.1600000000000001,-0.1600000000000001,-0.16000000000000006,-0.16,-0.004604845911669734,0.295,0.29500000000000004
E3,stress,229,-0.05683877218987218,-0.165,0.24017467248908297,0.17396327023691074,-5.186655407288913,1.226909217687976,-0.24585205678890176,-0.1650000000000001,-0.1650000000000001,-0.16500000000000006,-0.165,-0.009604845911669735,0.29,0.29000000000000004
E4,optimistic,229,0.011112424358744613,-0.07600000000000003,0.3406113537117904,0.11735593595085633,1.5031559031781616,0.7504424831910129,-1.2978678974320421,-0.07600000000000012,-0.07600000000000011,-0.07600000000000008,-0.07600000000000003,0.15722978378047744,0.1989999999999999,0.19899999999999995
E4,base,229,0.009112424358744613,-0.07800000000000003,0.3406113537117904,0.11735593595085633,1.2326198158849697,0.7504424831910125,-1.2978678974320426,-0.07800000000000012,-0.07800000000000011,-0.07800000000000008,-0.07800000000000003,0.15522978378047744,0.1969999999999999,0.19699999999999995
E4,conservative,229,0.007112424358744611,-0.08000000000000003,0.3406113537117904,0.11735593595085633,0.9620837285917777,0.7504424831910125,-1.2978678974320426,-0.08000000000000013,-0.08000000000000011,-0.08000000000000008,-0.08000000000000003,0.15322978378047744,0.1949999999999999,0.19499999999999995
