fire_id,mint,symbol,fire_time,entry_snapshot_ts,forward_snapshot_ts,entry_lag_sec,forward_lag_sec,price_at_fire,price_fwd_5m,r_forward_5m,label_source,label_quality
0b3102a0,DTWgi6rxhB8vLLvduTjDxEE5L3UNy6rtePoV4tQgpump,1%,2026-03-11T02:00:00+00:00,2026-03-11T02:00:00+00:00,2026-03-11T02:05:00+00:00,0.0,0.0,9.908e-05,9.908e-05,0.0,universe_snapshot,good
0b3102a0,52nVoVk3BimAtvu2y9q1gnxqgR8pmjcc3v3byGnCuBa,SCUBA,2026-03-11T02:00:00+00:00,2026-03-11T02:00:00+00:00,2026-03-11T02:05:00+00:00,0.0,0.0,0.0004586,0.0004586,0.0,universe_snapshot,good
0b3102a0,8FSsdMVHLxbNqgWDDq2ihhKx69ja7QP6ZW5xy1Z8pump,5,2026-03-11T02:00:00+00:00,2026-03-11T02:00:00+00:00,2026-03-11T02:05:00+00:00,0.0,0.0,0.0001703,0.0001703,0.0,universe_snapshot,good
0b3102a0,DUr5rZAfYduvihaiyMnfqgnhqYWbPWJXvK954qyTpump,SOLINU,2026-03-11T02:00:00+00:00,2026-03-11T02:00:00+00:00,2026-03-11T02:05:00+00:00,0.0,0.0,0.0001182,0.0001182,0.0,universe_snapshot,good
0b3102a0,7oXNE1dbpHUp6dn1JF8pRgCtzfCy4P2FuBneWjZHpump,WhiteHouse,2026-03-11T02:00:00+00:00,2026-03-11T02:00:00+00:00,2026-03-11T02:05:00+00:00,0.0,0.0,0.0003385,0.0003385,0.0,universe_snapshot,good
0b3102a0,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,ORCA,2026-03-11T02:00:00+00:00,2026-03-11T02:00:00+00:00,2026-03-11T02:05:00+00:00,0.0,0.0,0.9375,0.9366,-0.00096,universe_snapshot,good
0b3102a0,89S7oVB4hui8ceJqhHreWB7fcxdthfvoB7z2pfJtpump,abcdefg,2026-03-11T02:00:00+00:00,2026-03-11T02:00:00+00:00,2026-03-11T02:05:00+00:00,0.0,0.0,0.0003474,0.0003474,0.0,universe_snapshot,good
0b3102a0,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,$WIF,2026-03-11T02:00:00+00:00,2026-03-11T02:00:00+00:00,2026-03-11T02:05:00+00:00,0.0,0.0,0.1644,0.1642,-0.001217,universe_snapshot,good
0b3102a0,AywAYdNJnSLSXwKWYxDciPjqGRnwp4iZdQptuuQTpump,MICHI,2026-03-11T02:00:00+00:00,2026-03-11T02:00:00+00:00,2026-03-11T02:05:00+00:00,0.0,0.0,0.003304,0.003304,0.0,universe_snapshot,good
0b3102a0,766whddpsQHS8wy7viUfmuGPrMri1kgGMFwfZMdepump,MONA,2026-03-11T02:00:00+00:00,2026-03-11T02:00:00+00:00,2026-03-11T02:05:00+00:00,0.0,0.0,0.000407,0.000407,0.0,universe_snapshot,good
0b3102a0,5xyefUMWotwpymF16oTcZiRrv68bXeXne89RbYEHmTkT,69,2026-03-11T02:00:00+00:00,2026-03-11T02:00:00+00:00,2026-03-11T02:05:00+00:00,0.0,0.0,1.605e-05,1.605e-05,0.0,universe_snapshot,good
0b3102a0,9jpwUpdJV8y3Hg3Keg8FnYkEMFZ8HqNECqrmHHBVpump,HEHE,2026-03-11T02:00:00+00:00,2026-03-11T02:00:00+00:00,2026-03-11T02:05:00+00:00,0.0,0.0,8.401e-06,8.401e-06,0.0,universe_snapshot,good
0b3102a0,5LFvLupAoK5ahUreeSdG47MaK2p3GamxE6r1XZwmpump,PROP,2026-03-11T02:00:00+00:00,2026-03-11T02:00:00+00:00,2026-03-11T02:05:00+00:00,0.0,0.0,0.0001511,0.0001511,0.0,universe_snapshot,good
0b3102a0,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,FWOG,2026-03-11T02:00:00+00:00,2026-03-11T02:00:00+00:00,2026-03-11T02:05:00+00:00,0.0,0.0,0.005816,0.005816,0.0,universe_snapshot,good
0b3102a0,Hqr34r4nmmejFQ1YCmiVMpTkvG4eYSFPTtDuWgefpump,BNKTO,2026-03-11T02:00:00+00:00,2026-03-11T02:00:00+00:00,2026-03-11T02:05:00+00:00,0.0,0.0,0.0001021,0.0001021,0.0,universe_snapshot,good
0b3102a0,HBVnKYMkJVHSqm4WcYisGzZhWG4ugwdUgXk7UVYypump,Human,2026-03-11T02:00:00+00:00,2026-03-11T02:00:00+00:00,2026-03-11T02:05:00+00:00,0.0,0.0,3.195e-05,3.195e-05,0.0,universe_snapshot,good
0b3102a0,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,Pnut ,2026-03-11T02:00:00+00:00,2026-03-11T02:00:00+00:00,2026-03-11T02:05:00+00:00,0.0,0.0,0.04447,0.04443,-0.000899,universe_snapshot,good
0b3102a0,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,CHILLGUY,2026-03-11T02:00:00+00:00,2026-03-11T02:00:00+00:00,2026-03-11T02:05:00+00:00,0.0,0.0,0.009618,0.009624,0.000624,universe_snapshot,good
0b3102a0,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,PYTH,2026-03-11T02:00:00+00:00,2026-03-11T02:00:00+00:00,2026-03-11T02:05:00+00:00,0.0,0.0,0.04616,0.04613,-0.00065,universe_snapshot,good
