hypothesis,horizon,cost,N,w_mean_gross,w_mean_net,median_gross,median_net,pct_positive,ci_mean_lo,ci_mean_hi,ci_median_lo,ci_median_hi,top1_share,top3_share,G1_sample,G2_mean_net,G3_median_net,G4_ci_lower,G5_concentration,G6_distinction,pass,failed_gates
H1_Funding_Dislocation,15m,0.02%,107,0.00018058459783294368,-1.9415402167056333e-05,0.0005935610929640768,0.0003935610929640768,0.5514018691588785,-0.0007257542964861176,0.0006634315196219558,-0.0005283037185054375,0.0008022103840688686,0.040123145725523036,0.10807501002527403,True,False,True,False,True,True,False,"['G2_mean_net', 'G4_ci_lower']"
H1_Funding_Dislocation,15m,0.05%,107,0.00018058459783294368,-0.00031941540216705636,0.0005935610929640768,9.356109296407679e-05,0.5514018691588785,-0.0010257542964861176,0.00036343151962195587,-0.0008283037185054375,0.0005022103840688686,0.040123145725523036,0.10807501002527403,True,False,True,False,True,True,False,"['G2_mean_net', 'G4_ci_lower']"
H1_Funding_Dislocation,15m,0.10%,107,0.00018058459783294368,-0.0008194154021670564,0.0005935610929640768,-0.0004064389070359232,0.5514018691588785,-0.0015257542964861176,-0.00013656848037804414,-0.0013283037185054375,2.210384068868608e-06,0.040123145725523036,0.10807501002527403,True,False,False,False,True,True,False,"['G2_mean_net', 'G3_median_net', 'G4_ci_lower']"
H1_Funding_Dislocation,1h,0.02%,107,-0.0008957845786109889,-0.001095784578610989,-0.0010025372644252677,-0.0012025372644252678,0.45794392523364486,-0.002423868719802045,0.0001390670759132,-0.0022302767099401685,0.00028736063651192765,0.048375834634825164,0.11765093134679151,True,False,False,False,True,True,False,"['G2_mean_net', 'G3_median_net', 'G4_ci_lower']"
H1_Funding_Dislocation,1h,0.05%,107,-0.0008957845786109889,-0.001395784578610989,-0.0010025372644252677,-0.0015025372644252677,0.45794392523364486,-0.0027238687198020447,-0.0001609329240868,-0.0025302767099401684,-1.2639363488072377e-05,0.048375834634825164,0.11765093134679151,True,False,False,False,True,True,False,"['G2_mean_net', 'G3_median_net', 'G4_ci_lower']"
H1_Funding_Dislocation,1h,0.10%,107,-0.0008957845786109889,-0.001895784578610989,-0.0010025372644252677,-0.0020025372644252677,0.45794392523364486,-0.0032238687198020448,-0.0006609329240868001,-0.0030302767099401684,-0.0005126393634880724,0.048375834634825164,0.11765093134679151,True,False,False,False,True,True,False,"['G2_mean_net', 'G3_median_net', 'G4_ci_lower']"
H1_Funding_Dislocation,4h,0.02%,107,-0.0028743224857477713,-0.0030743224857477714,-0.0024876974526564797,-0.0026876974526564797,0.38317757009345793,-0.005713819522687376,-0.0005128911920848032,-0.0060823604247632855,-0.00128574111506764,0.034842233642435334,0.09157921571584957,True,False,False,False,True,True,False,"['G2_mean_net', 'G3_median_net', 'G4_ci_lower']"
H1_Funding_Dislocation,4h,0.05%,107,-0.0028743224857477713,-0.0033743224857477713,-0.0024876974526564797,-0.0029876974526564797,0.38317757009345793,-0.006013819522687376,-0.0008128911920848032,-0.006382360424763285,-0.00158574111506764,0.034842233642435334,0.09157921571584957,True,False,False,False,True,True,False,"['G2_mean_net', 'G3_median_net', 'G4_ci_lower']"
H1_Funding_Dislocation,4h,0.10%,107,-0.0028743224857477713,-0.0038743224857477714,-0.0024876974526564797,-0.0034876974526564797,0.38317757009345793,-0.006513819522687377,-0.0013128911920848032,-0.006882360424763286,-0.0020857411150676398,0.034842233642435334,0.09157921571584957,True,False,False,False,True,True,False,"['G2_mean_net', 'G3_median_net', 'G4_ci_lower']"
H2_Mark_Oracle_Divergence,15m,0.02%,43,0.00012844658050575072,-7.155341949424928e-05,1.500350322227977e-05,-0.00018499649677772024,0.5116279069767442,-0.0010208582367782772,0.0008614189075636372,-0.0011095362065322585,0.000732635391941859,0.09519319084997452,0.2406305878369489,True,False,False,False,True,True,False,"['G2_mean_net', 'G3_median_net', 'G4_ci_lower']"
