signal,mint_address,token_symbol,hour,close,volume_h1,sma_4h,sma_12h,r_fwd_1h,r_fwd_4h,r_fwd_24h
pullback_in_uptrend,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,Pnut ,2026-03-10 13:00:00,0.04542,9767.72,0.045497499999999996,0.0450925,0.005284015852047519,0.0068251871422280175,
pullback_in_uptrend,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,Pnut ,2026-03-10 17:00:00,0.04573,10982.82,0.0459975,0.0455225,-0.018368685764268533,-0.03236387491799697,-0.003936146949486075
pullback_in_uptrend,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,Pnut ,2026-03-11 19:00:00,0.04557,3981.33,0.045595,0.04480666666666666,-0.0037305244678516036,0.001536098310291889,0.028308097432521384
pullback_in_uptrend,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,Pnut ,2026-03-11 20:00:00,0.0454,2768.07,0.045537499999999995,0.04489166666666667,0.005947136563876576,0.0022026431718060735,0.003083700440528414
pullback_in_uptrend,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,Pnut ,2026-03-13 21:00:00,0.04705,20122.81,0.0471075,0.04692416666666666,-0.013177470775770472,0.009139213602550544,-0.025504782146652527
pullback_in_uptrend,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,Pnut ,2026-03-14 04:00:00,0.0474,7219.56,0.047482500000000004,0.047184166666666666,-0.004641350210970452,-0.02510548523206746,
pullback_in_uptrend,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,Pnut ,2026-03-14 05:00:00,0.04718,4926.51,0.047407500000000005,0.047155833333333334,-0.016532428995337023,-0.02522255192878331,
pullback_in_uptrend,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,2026-03-10 11:00:00,70497.52,36042.37,70641.87,69976.34559166667,-0.002051419681146416,0.008212913021621082,
pullback_in_uptrend,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,2026-03-10 12:00:00,70352.9,40720.97,70592.8925,70100.02975833333,-0.00811252983174815,0.00988289039968504,
pullback_in_uptrend,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,2026-03-10 17:00:00,70698.35,79752.58,71016.19499999999,70551.15425,-0.012775828573085679,-0.015638837398609717,-0.0025654064062317072
pullback_in_uptrend,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,2026-03-11 20:00:00,70405.71,44314.33,70483.3475,69915.61750000001,0.002073411375298928,-0.005419304769456956,-0.005376836623052439
pullback_in_uptrend,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,2026-03-11 22:00:00,70159.8,44098.36,70400.43000000001,70035.34333333334,-0.0016687618835857787,-0.013982651033782934,-0.006225359821436238
pullback_in_uptrend,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,2026-03-12 13:00:00,69673.54,138122.86,70115.46999999999,69646.61308333333,-0.0048351210516932586,0.005261825364406558,
pullback_in_uptrend,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,2026-03-13 03:00:00,71243.42,103073.25,71300.2775,70475.18683333333,-0.0011317536412486229,,-0.004410372214023295
pullback_in_uptrend,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,2026-03-13 19:00:00,71019.87,90964.99,71209.270875,70775.92379166668,0.0015711096063679708,-0.003470578022741977,-0.0066115299844957676
pullback_in_uptrend,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,2026-03-13 20:00:00,71131.45,84888.65,71181.278375,70845.38212499999,-0.002851200137210741,-0.008543900061083964,-0.006526930071016457
pullback_in_uptrend,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,2026-03-13 21:00:00,70928.64,72473.21,71122.740875,70920.50629166666,-0.0037444394817101045,-0.002766724414848598,-0.004258364463212483
pullback_in_uptrend,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,2026-03-14 22:00:00,70587.77,23684.6,70607.9675,70552.75958333333,,0.008659007077288283,
