run_id,fire_id,fire_time_utc,fire_epoch,signal_symbol,signal_mint,control_symbol,control_mint,signal_net_5m,control_net_5m,delta_5m,signal_entry_quote_ok,control_entry_quote_ok,signal_fwd_quote_ok_5m,control_fwd_quote_ok_5m,signal_entry_ts_epoch,control_entry_ts_epoch,signal_fwd_due_epoch_5m,control_fwd_due_epoch_5m,signal_fwd_ts_epoch_5m,control_fwd_ts_epoch_5m,signal_entry_jitter_sec,control_entry_jitter_sec,signal_fwd_jitter_5m_sec,control_fwd_jitter_5m_sec,signal_row_valid,control_row_valid,invalid_reason_signal,invalid_reason_control,outlier_flag
1677a7da,6ee8e824,2026-03-07T04:45:00+00:00,1772858700,Machi,ATBR4i19gcQ31Rfr7ymA2XvkCQEAkNFGBtVKTmdqpump,𝕏Money,EnTu4xYmd49b6drs6FwTodxcJW1sHFurbvueyk9Kpump,0.0896272,-0.0417275,0.1313547,1,1,1,1,1772858702,1772858702,1772859000,1772859000,1772859004,1772859004,2,2,4,4,1,1,,,1
1677a7da,b0f34a90,2026-03-07T05:00:00+00:00,1772859600,shitcoin,9yWFUKC2TNzZs6e1PzGg4kLx9yYrqiTfoT1qcsNNpump,AICOIN,217dt9idH1Q9UXT8rjpknnyFggizXUVD2r5EZNjopump,-0.0924861,-0.0581923,-0.0342938,1,1,1,1,1772859607,1772859608,1772859900,1772859900,1772859909,1772859910,7,8,9,10,1,1,,,0
1677a7da,33c10ca4,2026-03-07T05:15:00+00:00,1772860500,SHAPE,4HhWcsfjaWYKJtjaxd4EyGSAL4Ky8C3DvqAWPHnrpump,BRAINLET,9jCJEc8JYAQHrWc1NVnKW21vY96eHoY9ZJmbzCsupump,-0.065821,0.0186538999999999,-0.0844748999999999,1,1,1,1,1772860503,1772860504,1772860800,1772860800,1772860805,1772860806,3,4,5,6,1,1,,,0
1677a7da,e8f61ec6,2026-03-07T05:30:00+00:00,1772861400,MINDVOID,9VYUuSVZGw82Nz8rcSix4x4zurBmvkfiKtyvYCY4pump,BRAINLET,9jCJEc8JYAQHrWc1NVnKW21vY96eHoY9ZJmbzCsupump,-0.2964021,0.1427467,-0.4391488,1,1,1,1,1772861408,1772861409,1772861700,1772861700,1772861700,1772861701,8,9,0,1,1,1,,,1
1677a7da,8406b71b,2026-03-07T05:45:00+00:00,1772862300,MINDVOID,9VYUuSVZGw82Nz8rcSix4x4zurBmvkfiKtyvYCY4pump,BRAINLET,9jCJEc8JYAQHrWc1NVnKW21vY96eHoY9ZJmbzCsupump,0.0698563999999999,-0.3190359,0.3888923,1,1,1,1,1772862304,1772862305,1772862600,1772862600,1772862606,1772862607,4,5,6,7,1,1,,,1
1677a7da,2d2a88ec,2026-03-07T06:00:00+00:00,1772863200,BRAINLET,9jCJEc8JYAQHrWc1NVnKW21vY96eHoY9ZJmbzCsupump,CLARITY,3oaRkLHm94Y2fisjNPwkcHV7iUjTMdh5cSQyGarUpump,-0.0898677,-0.0026896,-0.0871780999999999,1,1,1,1,1772863211,1772863211,1772863500,1772863500,1772863503,1772863504,11,11,3,4,1,1,,,0
1677a7da,10ac8e94,2026-03-07T06:15:00+00:00,1772864100,CLARITY,3oaRkLHm94Y2fisjNPwkcHV7iUjTMdh5cSQyGarUpump,CORVUS,CoPRYLGHc7Qadere13xSPhRvgwwStCZn9dHpBZQ7pump,0.1116658,-0.0418522,0.153518,1,1,1,1,1772864107,1772864107,1772864400,1772864400,1772864408,1772864409,7,7,8,9,1,1,,,1
1677a7da,1652e392,2026-03-07T06:30:00+00:00,1772865000,CORVUS,CoPRYLGHc7Qadere13xSPhRvgwwStCZn9dHpBZQ7pump,DELULU,6RxB1KdzVMXrrYn7nQWvaGgh5e2EpbA1FcEFtq74pump,0.0230386,0.0606161999999999,-0.0375775999999999,1,1,1,1,1772865011,1772865012,1772865300,1772865300,1772865303,1772865304,11,12,3,4,1,1,,,0
1677a7da,e8b745b0,2026-03-07T06:45:00+00:00,1772865900,LOLA,7BeoEbgJepbf4mAyw4PZ48TcgrDK25kR7zexV42Apump,Machi,ATBR4i19gcQ31Rfr7ymA2XvkCQEAkNFGBtVKTmdqpump,-0.036541,-0.0220143,-0.0145267,1,1,1,1,1772865906,1772865907,1772866200,1772866200,1772866208,1772866209,6,7,8,9,1,1,,,0
1677a7da,41c76937,2026-03-07T07:00:00+00:00,1772866800,SOL人生,GWcAPiF2cBf5de8E1eSERcnVdH411NqT2peG7zDJpump,SHAPE,4HhWcsfjaWYKJtjaxd4EyGSAL4Ky8C3DvqAWPHnrpump,-0.0434549,-0.036175,-0.0072799,1,1,1,1,1772866813,1772866814,1772867100,1772867100,1772867105,1772867106,13,14,5,6,1,1,,,0
1677a7da,c9ffb366,2026-03-07T07:15:00+00:00,1772867700,MINDVOID,9VYUuSVZGw82Nz8rcSix4x4zurBmvkfiKtyvYCY4pump,SOL人生,GWcAPiF2cBf5de8E1eSERcnVdH411NqT2peG7zDJpump,0.0375776999999999,-0.0250277,0.0626053999999999,1,1,1,1,1772867708,1772867709,1772868000,1772868000,1772868000,1772868001,8,9,0,1,1,1,,,0
1677a7da,be6659e7,2026-03-07T07:30:00+00:00,1772868600,Peace ,atVjZ7uM8sVrLFi5Xe1JiLGW6mW9pvQdTCWzhNFpump,DELULU,6RxB1KdzVMXrrYn7nQWvaGgh5e2EpbA1FcEFtq74pump,-0.054304,-0.0363818,-0.0179222,1,1,1,1,1772868604,1772868605,1772868900,1772868900,1772868906,1772868907,4,5,6,7,1,1,,,0
1677a7da,bfd14642,2026-03-07T07:45:00+00:00,1772869500,MINDVOID,9VYUuSVZGw82Nz8rcSix4x4zurBmvkfiKtyvYCY4pump,SOL人生,GWcAPiF2cBf5de8E1eSERcnVdH411NqT2peG7zDJpump,0.0856897999999999,-0.0654295,0.1511193,1,1,1,1,1772869510,1772869511,1772869800,1772869800,1772869802,1772869803,10,11,2,3,1,1,,,1
1677a7da,f134777d,2026-03-07T08:00:00+00:00,1772870400,CORVUS,CoPRYLGHc7Qadere13xSPhRvgwwStCZn9dHpBZQ7pump,DELULU,6RxB1KdzVMXrrYn7nQWvaGgh5e2EpbA1FcEFtq74pump,0.0651561999999999,-0.0147258999999999,0.0798820999999998,1,1,1,1,1772870407,1772870408,1772870700,1772870700,1772870709,1772870710,7,8,9,10,1,1,,,0
